ID_MISSION,TYPE_MISSION,VILLE_DEPART,VILLE_DESTINATION,TRANSPORT,ALLER_RETOUR,IMPACT_CARBONE
NewYork_202604299,Development,New-York,Vancouver,Avion,oui,0.607858339204978
NewYork_2026042910,Internal Meeting,New-York,Dubaï,Avion,oui,1.687501204543864
NewYork_2026042911,Training,New-York,New-York,Transports en commun,non,0.00032
NewYork_2026042912,Development,Paris,Buenos Aires,Avion,non,1.69412997667271
NewYork_2026042913,Development,New-York,Osaka,Avion,oui,1.7021198028261946
NewYork_2026042914,Internal Meeting,New-York,Auckland,Avion,oui,2.1719363105000955
NewYork_2026042915,Training,New-York,Dubaï,Avion,oui,1.687501204543864
NewYork_2026042916,Internal Meeting,New-York,Tokyo,Avion,oui,1.6632323701187266
NewYork_2026042917,Internal Meeting,New-York,Bordeaux,Avion,oui,0.8962776787694506
NewYork_2026042918,Development,New-York,Washington,Train,oui,0.0015762541967073106
NewYork_2026042919,Internal Meeting,New-York,Wellington,Avion,oui,2.2037547203645382
NewYork_2026042920,Training,New-York,Montreal,Avion,oui,0.16224264853993534
NewYork_2026042921,Business Meeting,New-York,Bogota,Avion,oui,0.6239028299151334
NewYork_2026042922,Development,New-York,Pekin,Avion,oui,1.6847864622747322
NewYork_2026042923,Conference,New-York,Los Angeles,Avion,oui,0.6126510922336345
NewYork_2026042924,Training,New-York,Bogota,Avion,oui,0.6239028299151334
NewYork_2026042925,Internal Meeting,New-York,Alger,Avion,non,0.998761614561318
NewYork_2026042926,Conference,New-York,Bordeaux,Avion,oui,0.8962776787694506
NewYork_2026042927,Development,New-York,Helsinki,Avion,non,1.0205069146233336
NewYork_2026042928,Business Meeting,New-York,Rabat,Avion,oui,0.901784040037043
NewYork_2026042929,Conference,New-York,Auckland,Avion,oui,2.1719363105000955
Paris_202604290,Business Meeting,Paris,New-York,Avion,oui,0.901681650994046
Paris_202604291,Development,Paris,London,Avion,oui,0.11318954553164326
Paris_202604292,Business Meeting,Paris,Washington,Avion,oui,0.9515926527898403
Paris_202604293,Conference,Paris,Berlin,Avion,oui,0.2508157264356068
Paris_202604294,Development,Paris,Montreal,Avion,oui,0.8512182357438587
Paris_202604295,Internal Meeting,Paris,Melbourne,Avion,oui,2.566770544094725
Paris_202604296,Internal Meeting,Paris,Berlin,Avion,oui,0.2508157264356068
Paris_202604297,Internal Meeting,Paris,Sao Paulo,Avion,oui,1.4434630517516773
Paris_202604298,Business Meeting,Paris,Bogota,Avion,oui,1.325797970330642
Paris_202604299,Internal Meeting,Shanghai,Bogota,Avion,oui,2.4004103277394337
Paris_2026042910,Business Meeting,Paris,Marseille,Train,oui,0.0031694362087930045
Paris_2026042911,Development,Paris,Bogota,Avion,oui,1.325797970330642
Paris_2026042912,Internal Meeting,Paris,Bogota,Avion,oui,1.325797970330642
Paris_2026042913,Development,Paris,Wellington,Avion,oui,2.900334109892404
Paris_2026042914,Training,Paris,Tunis,Avion,oui,0.34834836520291734
Paris_2026042915,Business Meeting,Paris,Bordeaux,Train,oui,0.0023930259247036704
Paris_2026042916,Business Meeting,Paris,Mexico,Avion,oui,1.3870884561150771
Shanghai_202604290,Training,Shanghai,Lima,Avion,oui,2.6227331751225025
Shanghai_202604291,Training,Shanghai,Bordeaux,Avion,oui,1.4930893790692807
Shanghai_202604292,Development,Shanghai,Stockholm,Avion,oui,1.194630087263967
Shanghai_202604293,Development,Shanghai,Shanghai,Transports en commun,oui,0.00032
Shanghai_202604294,Business Meeting,Paris,Alger,Avion,oui,0.2691921196053137
Shanghai_202604295,Training,Shanghai,Rio de Janeiro,Avion,oui,2.7870907514863834
Shanghai_202604296,Internal Meeting,Shanghai,Los Angeles,Avion,non,1.600472390929126
Shanghai_202604297,Development,Shanghai,Bogota,Avion,oui,2.4004103277394337
Shanghai_202604298,Conference,Shanghai,Melbourne,Avion,non,1.2388684447945475
BERLIN_202604300,Conference,Berlin,Sidney,Avion,oui,2.4609158217057128
BERLIN_202604301,Development,Berlin,Los Angeles,Avion,non,1.4294535640093204
BERLIN_202604302,Development,Berlin,Tunis,Avion,oui,0.41059450868541497
BERLIN_202604303,Conference,Berlin,Bordeaux,Avion,oui,0.26659979154891283
BERLIN_202604304,Internal Meeting,Berlin,Helsinki,Avion,oui,0.22456195078855723
BERLIN_202604305,Conference,Berlin,Lille,Avion,oui,0.21625642712175583
BERLIN_202604306,Internal Meeting,Berlin,Oslo,Avion,oui,0.2408317161090215
BERLIN_202604307,Development,Paris,Melbourne,Avion,oui,2.566770544094725
BERLIN_202604308,Development,Berlin,Lille,Avion,oui,0.21625642712175583
BERLIN_202604309,Business Meeting,Berlin,Lima,Avion,oui,1.7010467098208113
BERLIN_2026043010,Business Meeting,Berlin,Berlin,Transports en commun,oui,0.00032
BERLIN_2026043011,Development,Berlin,Lille,Avion,oui,0.21625642712175583
BERLIN_2026043012,Training,Shanghai,Osaka,Avion,oui,0.2726737248640281
BERLIN_2026043013,Development,Berlin,Oslo,Avion,oui,0.2408317161090215
BERLIN_2026043014,Internal Meeting,Berlin,Buenos Aires,Avion,non,1.8247175277698704
BERLIN_2026043015,Internal Meeting,Berlin,Helsinki,Avion,oui,0.22456195078855723
BERLIN_2026043016,Internal Meeting,Berlin,New-York,Avion,oui,0.984889681053484
BERLIN_2026043017,Conference,Berlin,Rio de Janeiro,Avion,oui,1.5359830136722428
BERLIN_2026043018,Development,Berlin,Rio de Janeiro,Avion,oui,1.5359830136722428
BERLIN_2026043019,Development,Berlin,Bogota,Avion,oui,1.447284245756637
BERLIN_2026043020,Conference,Berlin,Berlin,Transports en commun,oui,0.00032
BERLIN_2026043021,Business Meeting,Berlin,Berlin,Transports en commun,oui,0.00032
BERLIN_2026043022,Training,Berlin,Montreal,Avion,oui,0.9261477338631776
BERLIN_2026043023,Conference,Berlin,Osaka,Avion,oui,1.354654233742313
BERLIN_2026043024,Development,Berlin,Oslo,Avion,oui,0.2408317161090215
BERLIN_2026043025,Business Meeting,Berlin,Los Angeles,Avion,oui,1.4294535640093204
BERLIN_2026043026,Development,Berlin,Los Angeles,Avion,oui,1.4294535640093204
BERLIN_2026043027,Development,Berlin,Lima,Avion,oui,1.7010467098208113
BERLIN_2026043028,Business Meeting,Berlin,Helsinki,Avion,oui,0.22456195078855723
LONDON_202604300,Business Meeting,London,Bordeaux,Avion,oui,0.21594706427273094
LONDON_202604301,Business Meeting,London,Bogota,Avion,oui,1.305914171107785
LONDON_202604302,Training,London,Helsinki,Avion,oui,0.3582973678914279
LONDON_202604303,Conference,London,Shanghai,Avion,non,1.4123024771156072
LONDON_202604304,Training,London,Tunis,Avion,oui,0.41208934063584424
LA_202604300,Training,Los Angeles,Stockholm,Avion,non,1.3642940406590542
LA_202604301,Internal Meeting,Los Angeles,Lille,Avion,oui,1.3800820489752672
LA_202604302,Conference,Los Angeles,Bordeaux,Avion,oui,1.4170327658036175
LA_202604303,Development,Los Angeles,Osaka,Avion,non,1.4112512677938975
LA_202604304,Training,Los Angeles,Compiègne,Avion,oui,1.3925860488146178
LA_202604305,Development,Los Angeles,Los Angeles,Transports en commun,oui,0.00032
LA_202604306,Conference,Los Angeles,Mexico,Avion,oui,0.38320138291896094
LA_202604307,Conference,Los Angeles,Bordeaux,Avion,oui,1.4170327658036175
LA_202604308,Training,Los Angeles,Vancouver,Avion,non,0.34272661539320814
LA_202604309,Business Meeting,Los Angeles,Alger,Avion,oui,1.5448563309532
LA_2026043010,Business Meeting,New-York,Melbourne,Avion,non,2.548619801766167
LA_2026043011,Development,Los Angeles,Sidney,Avion,non,1.8496576605277766
LA_2026043012,Conference,Los Angeles,Mexico,Avion,oui,0.38320138291896094
LA_2026043013,Training,Los Angeles,Washington,Avion,oui,0.575626421656058
LA_2026043014,Internal Meeting,Los Angeles,New-York,Avion,non,0.6126510922336345
LA_2026043015,Internal Meeting,Los Angeles,Sidney,Avion,oui,1.8496576605277766
LA_2026043016,Development,New-York,Sao Paulo,Avion,oui,1.1826559757271313
LA_2026043017,Business Meeting,Los Angeles,Shanghai,Avion,oui,1.600472390929126
LA_2026043018,Training,Los Angeles,Mexico,Avion,oui,0.38320138291896094
LA_2026043019,Training,Paris,Montreal,Avion,oui,0.8512182357438587
LA_2026043020,Internal Meeting,Los Angeles,Bogota,Avion,oui,0.8657447149167741
NewYork_202604300,Internal Meeting,New-York,Bogota,Avion,oui,0.6239028299151334
NewYork_202604301,Conference,New-York,Vancouver,Avion,oui,0.607858339204978
NewYork_202604302,Business Meeting,New-York,Sao Paulo,Avion,oui,1.1826559757271313
NewYork_202604303,Conference,New-York,Montreal,Avion,oui,0.16224264853993534
NewYork_202604304,Development,New-York,Sao Paulo,Avion,oui,1.1826559757271313
NewYork_202604305,Development,Paris,Auckland,Avion,oui,2.833447079673439
NewYork_202604306,Development,New-York,New-York,Transports en commun,oui,0.00032
NewYork_202604307,Development,New-York,Wellington,Avion,non,2.2037547203645382
NewYork_202604308,Development,New-York,Auckland,Avion,non,2.1719363105000955
NewYork_202604309,Internal Meeting,New-York,Wellington,Avion,oui,2.2037547203645382
NewYork_2026043010,Business Meeting,New-York,Vancouver,Avion,oui,0.607858339204978
NewYork_2026043011,Training,New-York,Osaka,Avion,oui,1.7021198028261946
NewYork_2026043012,Internal Meeting,New-York,Oslo,Avion,oui,0.9134075588093487
NewYork_2026043013,Conference,New-York,Auckland,Avion,oui,2.1719363105000955
NewYork_2026043014,Conference,New-York,Lima,Avion,oui,0.9074036236801507
NewYork_2026043015,Training,New-York,Wellington,Avion,oui,2.2037547203645382
NewYork_2026043016,Business Meeting,Shanghai,Helsinki,Avion,oui,1.1355649853358931
NewYork_2026043017,Internal Meeting,New-York,Los Angeles,Taxi,oui,1.9646511660725676
NewYork_2026043018,Internal Meeting,New-York,Melbourne,Avion,oui,2.548619801766167
NewYork_2026043019,Training,New-York,Stockholm,Avion,oui,0.9751235348104391
NewYork_2026043020,Conference,New-York,New-York,Transports en commun,oui,0.00032
NewYork_2026043021,Training,Shanghai,Stockholm,Avion,oui,1.194630087263967
NewYork_2026043022,Business Meeting,New-York,New-York,Transports en commun,oui,0.00032
NewYork_2026043023,Training,Shanghai,Melbourne,Avion,oui,1.2388684447945475
NewYork_2026043024,Training,New-York,Oslo,Avion,oui,0.9134075588093487
NewYork_2026043025,Business Meeting,New-York,Osaka,Avion,oui,1.7021198028261946
NewYork_2026043026,Internal Meeting,New-York,Lille,Avion,oui,0.8979777320096011
NewYork_2026043027,Internal Meeting,New-York,Berlin,Avion,oui,0.984889681053484
NewYork_2026043028,Internal Meeting,New-York,Tunis,Avion,oui,1.0991700080279931
NewYork_2026043029,Development,Paris,Bordeaux,Avion,oui,0.15313514345282228
NewYork_2026043030,Training,New-York,Berlin,Avion,oui,0.984889681053484
NewYork_2026043031,Development,New-York,Osaka,Avion,oui,1.7021198028261946
NewYork_2026043032,Training,New-York,Osaka,Avion,oui,1.7021198028261946
NewYork_2026043033,Development,New-York,Montreal,Avion,oui,0.16224264853993534
NewYork_2026043034,Development,New-York,Shanghai,Avion,oui,1.8169194861576556
NewYork_2026043035,Business Meeting,New-York,Marseille,Avion,oui,0.9727721712159599
NewYork_2026043036,Training,New-York,Compiègne,Avion,oui,0.9030591958502655
Paris_202604300,Development,Paris,Melbourne,Avion,oui,2.566770544094725
Paris_202604301,Business Meeting,Paris,Auckland,Avion,oui,2.833447079673439
Paris_202604302,Business Meeting,Shanghai,Oslo,Avion,oui,1.243671863305568
Paris_202604303,Conference,Paris,Rio de Janeiro,Avion,oui,1.4081517422419538
Paris_202604304,Development,Paris,Wellington,Avion,oui,2.900334109892404
Paris_202604305,Training,Paris,Compiègne,Avion,oui,0.04302186461491883
Paris_202604306,Business Meeting,Paris,Compiègne,Train,oui,0.0003444067835333735
Paris_202604307,Development,Paris,Mexico,Avion,oui,1.3870884561150771
Paris_202604308,Internal Meeting,Paris,Marseille,Train,oui,0.0031694362087930045
Paris_202604309,Conference,Paris,Sao Paulo,Avion,oui,1.4434630517516773
Paris_2026043010,Conference,Paris,Sidney,Avion,oui,2.5924955976413657
Shanghai_202604300,Business Meeting,Shanghai,Washington,Avion,oui,1.8362697040386036
Shanghai_202604301,Development,Shanghai,Mexico,Avion,oui,1.8924944102575025
Shanghai_202604302,Conference,New-York,Tunis,Avion,oui,1.0991700080279931
Shanghai_202604303,Internal Meeting,Shanghai,Sidney,Avion,oui,1.212461805067038
Shanghai_202604304,Training,Paris,Pekin,Avion,non,1.2633382822788028
Shanghai_202604305,Development,Shanghai,Auckland,Avion,oui,1.440523979189104
Shanghai_202604306,Training,Shanghai,Melbourne,Avion,oui,1.2388684447945475
Shanghai_202604307,Conference,Shanghai,Oslo,Avion,oui,1.243671863305568
BERLIN_202605010,Business Meeting,Berlin,Sidney,Avion,oui,2.4609158217057128
BERLIN_202605011,Training,Paris,Melbourne,Avion,oui,2.566770544094725
BERLIN_202605012,Training,Berlin,Lima,Avion,oui,1.7010467098208113
BERLIN_202605013,Training,Berlin,Compiègne,Avion,oui,0.2348762145071542
BERLIN_202605014,Conference,Berlin,Buenos Aires,Avion,oui,1.8247175277698704
BERLIN_202605015,Development,Berlin,Mexico,Avion,non,1.4586820075511415
BERLIN_202605016,Development,Berlin,Bogota,Avion,oui,1.447284245756637
BERLIN_202605017,Internal Meeting,Berlin,Oslo,Avion,oui,0.2408317161090215
BERLIN_202605018,Internal Meeting,Berlin,Sao Paulo,Avion,oui,1.5727709301141994
BERLIN_202605019,Internal Meeting,Berlin,Vancouver,Avion,non,1.2271526170062694
BERLIN_2026050110,Conference,Berlin,Bogota,Avion,oui,1.447284245756637
BERLIN_2026050111,Training,Berlin,Buenos Aires,Avion,oui,1.8247175277698704
BERLIN_2026050112,Development,Berlin,Bordeaux,Avion,oui,0.26659979154891283
BERLIN_2026050113,Internal Meeting,Berlin,Montreal,Avion,oui,0.9261477338631776
BERLIN_2026050114,Training,Shanghai,Rabat,Avion,oui,1.6806601318820653
BERLIN_2026050115,Training,Berlin,Washington,Avion,oui,1.0344617760638948
BERLIN_2026050116,Business Meeting,Berlin,Wellington,Avion,oui,2.7714843516316483
BERLIN_2026050117,Development,Berlin,London,Avion,non,0.2646797773164078
BERLIN_2026050118,Business Meeting,Berlin,Lima,Avion,oui,1.7010467098208113
BERLIN_2026050119,Training,Berlin,Stockholm,Avion,oui,0.23365209633025752
BERLIN_2026050120,Conference,Berlin,Compiègne,Avion,oui,0.2348762145071542
BERLIN_2026050121,Conference,Berlin,Alger,Avion,oui,0.37825039635950586
BERLIN_2026050122,Development,Berlin,Compiègne,Avion,oui,0.2348762145071542
BERLIN_2026050123,Internal Meeting,Berlin,Osaka,Avion,oui,1.354654233742313
BERLIN_2026050124,Business Meeting,Berlin,Lima,Avion,oui,1.7010467098208113
BERLIN_2026050125,Business Meeting,Berlin,Wellington,Avion,oui,2.7714843516316483
BERLIN_2026050126,Internal Meeting,Berlin,Wellington,Avion,non,2.7714843516316483
LONDON_202605010,Training,London,Washington,Avion,oui,0.911006281280688
LONDON_202605011,Development,London,Dubaï,Avion,oui,0.8462864062221045
LONDON_202605012,Training,London,Lille,Avion,oui,0.08722071305468451
LONDON_202605013,Development,Shanghai,Montreal,Avion,oui,1.7394202362904245
LONDON_202605014,Internal Meeting,London,Bordeaux,Avion,oui,0.21594706427273094
LONDON_202605015,Training,London,Lille,Avion,oui,0.08722071305468451
LONDON_202605016,Business Meeting,London,Osaka,Avion,oui,1.4583397618729064
LONDON_202605017,Business Meeting,London,Sidney,Avion,oui,2.59752122589613
LONDON_202605018,Development,London,Helsinki,Avion,oui,0.3582973678914279
LONDON_202605019,Internal Meeting,London,Montreal,Avion,non,0.8080157246730256
LONDON_2026050110,Internal Meeting,London,Bogota,Avion,non,1.305914171107785
LONDON_2026050111,Development,London,Pekin,Avion,oui,1.2517376203157784
LONDON_2026050112,Development,London,London,Transports en commun,oui,0.00032
LONDON_2026050113,Development,Shanghai,Lille,Avion,oui,1.396756559964023
LONDON_2026050114,Development,London,Tunis,Avion,oui,0.41208934063584424
LONDON_2026050115,Conference,London,Tokyo,Avion,oui,1.4679579183331481
LONDON_2026050116,Internal Meeting,London,Shanghai,Avion,oui,1.4123024771156072
LONDON_2026050117,Conference,Paris,Dubaï,Avion,oui,0.811886676556389
LONDON_2026050118,Conference,London,Berlin,Avion,oui,0.2646797773164078
LONDON_2026050119,Internal Meeting,London,Sidney,Avion,oui,2.59752122589613
LONDON_2026050120,Development,London,Osaka,Avion,oui,1.4583397618729064
LONDON_2026050121,Training,London,Dubaï,Avion,oui,0.8462864062221045
LONDON_2026050122,Business Meeting,London,Marseille,Avion,oui,0.20508872977185863
LONDON_2026050123,Training,London,Auckland,Avion,oui,2.8015700537607446
LONDON_2026050124,Conference,Shanghai,Vancouver,Avion,oui,1.3864924401536767
LONDON_2026050125,Development,Paris,Stockholm,Avion,oui,0.3064524506233772
LONDON_2026050126,Internal Meeting,London,Shanghai,Avion,oui,1.4123024771156072
LONDON_2026050127,Development,London,Rabat,Avion,oui,0.39512263508330325
LONDON_2026050128,Development,London,Bogota,Avion,oui,1.305914171107785
LONDON_2026050129,Internal Meeting,London,Dubaï,Avion,oui,0.8462864062221045
LONDON_2026050130,Training,London,Shanghai,Avion,oui,1.4123024771156072
LONDON_2026050131,Development,London,Wellington,Avion,oui,2.874209916003012
LONDON_2026050132,Training,New-York,London,Avion,oui,0.8611147885052602
LONDON_2026050133,Development,London,Compiègne,Avion,oui,0.10514263321140531
LONDON_2026050134,Training,London,Washington,Avion,oui,0.911006281280688
LONDON_2026050135,Business Meeting,London,Auckland,Avion,non,2.8015700537607446
LONDON_2026050136,Internal Meeting,London,Los Angeles,Avion,oui,1.345263111598265
LONDON_2026050137,Training,London,Bordeaux,Avion,oui,0.21594706427273094
LONDON_2026050138,Training,London,Bogota,Avion,oui,1.305914171107785
LA_202605010,Internal Meeting,New-York,Vancouver,Avion,oui,0.607858339204978
LA_202605011,Training,Los Angeles,London,Avion,oui,1.345263111598265
LA_202605012,Business Meeting,Los Angeles,Sidney,Avion,oui,1.8496576605277766
LA_202605013,Internal Meeting,Los Angeles,Buenos Aires,Avion,oui,1.5119532616612168
LA_202605014,Development,Los Angeles,Mexico,Avion,oui,0.38320138291896094
LA_202605015,Training,Los Angeles,Sidney,Avion,oui,1.8496576605277766
LA_202605016,Development,Los Angeles,Washington,Avion,oui,0.575626421656058
LA_202605017,Training,Los Angeles,Rabat,Avion,oui,1.474800286459264
LA_202605018,Development,Los Angeles,Dubaï,Avion,oui,2.0493842213954947
LA_202605019,Business Meeting,Los Angeles,Rio de Janeiro,Avion,oui,1.555835237271647
LA_2026050110,Development,Paris,Washington,Avion,oui,0.9515926527898403
LA_2026050111,Internal Meeting,Los Angeles,Wellington,Avion,oui,1.6579812304884136
LA_2026050112,Internal Meeting,Los Angeles,Mexico,Avion,oui,0.38320138291896094
LA_2026050113,Training,Los Angeles,Bogota,Avion,oui,0.8657447149167741
LA_2026050114,Internal Meeting,Los Angeles,Vancouver,Avion,oui,0.34272661539320814
NewYork_202605010,Training,New-York,Helsinki,Avion,oui,1.0205069146233336
NewYork_202605011,Training,New-York,Dubaï,Avion,oui,1.687501204543864
NewYork_202605012,Training,New-York,Mexico,Avion,oui,0.6204535232348771
NewYork_202605013,Business Meeting,New-York,Auckland,Avion,oui,2.1719363105000955
NewYork_202605014,Internal Meeting,New-York,Dubaï,Avion,oui,1.687501204543864
NewYork_202605015,Internal Meeting,New-York,Alger,Avion,oui,0.998761614561318
NewYork_202605016,Training,New-York,Helsinki,Avion,oui,1.0205069146233336
Paris_202605010,Conference,Paris,Los Angeles,Avion,non,1.395415044789705
Paris_202605011,Conference,Shanghai,Montreal,Avion,oui,1.7394202362904245
Paris_202605012,Development,Paris,Tokyo,Avion,oui,1.4913752121684454
Paris_202605013,Internal Meeting,Paris,Alger,Avion,non,0.2691921196053137
