ID_MATERIELINFO,TYPE,MODELE,IMPACT,ECRAN
Shanghai_MATERIEL_INFO_202605011,ecran,24pouces-31pouces,0.43,non
BERLIN_MATERIEL_INFO_202605010,ecran,32pouces et plus,0.59,non
LA_MATERIEL_INFO_202605016,vidéo projecteur,modèle par défaut,0.094,non
Shanghai_MATERIEL_INFO_202605014,vidéo projecteur,transportable,0.094,non
LA_MATERIEL_INFO_202605012,vidéo projecteur,transportable,0.094,non
LA_MATERIEL_INFO_202605011,imprimante,laser à poser (<40kg),0.43,non
Shanghai_MATERIEL_INFO_202605017,imprimante,laser a3 (40-99kg),0.96,non
LONDON_MATERIEL_INFO_202605019,imprimante,laser a3 (40-99kg),0.96,non
Paris_MATERIEL_INFO_202605010,clavier,modèle par défaut,0.024,non
NewYork_MATERIEL_INFO_202605011,serveur,noeud de calcul,1.3,non
NewYork_MATERIEL_INFO_202605010,serveur,noeud de calcul,1.3,non
BERLIN_MATERIEL_INFO_202605020,imprimante,modèle par défaut,0.5,non
BERLIN_MATERIEL_INFO_202605021,pc fixe,precision tower 3xxx,0.285,non
BERLIN_MATERIEL_INFO_202605022,pc portable,latitude 5xxx,0.3,non
BERLIN_MATERIEL_INFO_202605023,ecran,24pouces-31pouces,0.43,non
BERLIN_MATERIEL_INFO_202605025,pc fixe tout-en-un,optiplex all-in-one 5xxx,0.318,non
LONDON_MATERIEL_INFO_202605020,imprimante,laser a3 (40-99kg),0.96,non
LONDON_MATERIEL_INFO_202605024,pc portable,moyenne 14/15pouces,0.294,non
LONDON_MATERIEL_INFO_202605025,telephone ip,modèle par défaut,0.017,non
LONDON_MATERIEL_INFO_202605027,pc fixe tout-en-un,imac 21pouces retina,0.3,non
LA_MATERIEL_INFO_202605021,pc fixe,precision tower 7xxx,0.555,non
NewYork_MATERIEL_INFO_202605020,borne wifi,modèle par défaut,0.01,non
NewYork_MATERIEL_INFO_202605021,ecran,modèle par défaut,0.43,non
NewYork_MATERIEL_INFO_202605022,pc fixe,precision tower 3xxx,0.285,non
NewYork_MATERIEL_INFO_202605024,telephone ip,modèle par défaut,0.017,non
NewYork_MATERIEL_INFO_202605025,pc portable,precision 7xxx,0.304,non
NewYork_MATERIEL_INFO_202605026,pc fixe,z,0.409,non
NewYork_MATERIEL_INFO_202605027,serveur,serveur de stockage,2.5,non
NewYork_MATERIEL_INFO_202605028,pc fixe,optiplex micro,0.174,non
NewYork_MATERIEL_INFO_202605029,pc portable,zbook studio,0.379,non
NewYork_MATERIEL_INFO_2026050210,pc fixe,rasberry pi 4,0.015,non
Paris_MATERIEL_INFO_202605020,pc portable,latitude 3xxx,0.22,non
Paris_MATERIEL_INFO_202605021,pc fixe,"prodesk (tower, sff)",0.322,non
Paris_MATERIEL_INFO_202605022,imprimante,laser a3 (40-99kg),0.96,non
Paris_MATERIEL_INFO_202605024,pc portable,chromebook 14-15pouces,0.17,non
Shanghai_MATERIEL_INFO_202605020,ecran,24pouces-31pouces,0.43,non
Shanghai_MATERIEL_INFO_202605021,pc fixe,elitedesk dm,0.23,non
Shanghai_MATERIEL_INFO_202605022,pc fixe,precision tower 5xxx,0.44,non
Shanghai_MATERIEL_INFO_202605023,pc portable,moyenne 17pouces,0.365,non
Shanghai_MATERIEL_INFO_202605025,pc fixe tout-en-un,imac 21pouces retina,0.3,non
Shanghai_MATERIEL_INFO_202605028,imprimante,laser à poser (<40kg),0.43,non
Shanghai_MATERIEL_INFO_202605029,pc portable,probook,0.226,non
Shanghai_MATERIEL_INFO_2026050211,clavier,modèle par défaut,0.024,non
Shanghai_MATERIEL_INFO_2026050213,ecran,24pouces-31pouces,0.43,non
LA_MATERIEL_INFO_202605036,pc fixe,optiplex micro,0.174,non
LONDON_MATERIEL_INFO_202605039,pc fixe,optiplex micro,0.174,non
LA_MATERIEL_INFO_202605037,pc fixe,precision tower 7xxx,0.555,non
LA_MATERIEL_INFO_202605035,pc fixe,precision tower 7xxx,0.555,non
LA_MATERIEL_INFO_202605031,pc fixe,precision tower 7xxx,0.555,non
LA_MATERIEL_INFO_202605034,pc fixe,elite mini,0.137,non
LONDON_MATERIEL_INFO_202605037,pc fixe,elitedesk dm,0.23,non
LONDON_MATERIEL_INFO_202605038,pc fixe,"elitedesk (tower, sff, one)",0.393,non
Paris_MATERIEL_INFO_202605037,pc fixe,z,0.409,non
NewYork_MATERIEL_INFO_202605032,pc fixe,rasberry pi 4,0.015,non
NewYork_MATERIEL_INFO_202605034,pc fixe,pc fixe (moy),0.3,non
LONDON_MATERIEL_INFO_202605036,pc fixe tout-en-un,modèle par défaut,0.352,non
Shanghai_MATERIEL_INFO_202605031,pc fixe tout-en-un,imac 27pouces retina,0.45,non
LA_MATERIEL_INFO_202605038,pc fixe tout-en-un,imac pro,0.7,non
Paris_MATERIEL_INFO_202605030,pc portable,omen,0.356,non
Shanghai_MATERIEL_INFO_202605033,pc portable,victus,0.267,non
LA_MATERIEL_INFO_202605039,pc portable,elitebook 6xx,0.175,non
Paris_MATERIEL_INFO_202605036,pc portable,elitebook 10xx,0.223,non
Paris_MATERIEL_INFO_202605039,pc portable,latitude 3xxx,0.22,non
Paris_MATERIEL_INFO_202605033,pc portable,latitude 5xxx,0.3,non
LONDON_MATERIEL_INFO_202605035,pc portable,macbook air,0.25,non
LONDON_MATERIEL_INFO_202605033,pc portable,macbook air pre-retina,0.31,non
Paris_MATERIEL_INFO_202605031,pc portable,moyenne 14/15pouces,0.294,non
LA_MATERIEL_INFO_202605030,pc portable,moyenne 14/15pouces,0.294,non
BERLIN_MATERIEL_INFO_202605030,pc portable,moyenne 14/15pouces,0.294,non
LONDON_MATERIEL_INFO_202605032,ecran,modèle par défaut,0.43,non
Paris_MATERIEL_INFO_202605035,ecran,24pouces-31pouces,0.43,non
NewYork_MATERIEL_INFO_202605031,vidéo projecteur,transportable,0.094,non
LA_MATERIEL_INFO_202605033,imprimante,laser à poser (<40kg),0.43,non
Shanghai_MATERIEL_INFO_202605030,imprimante,laser a3 (>100kg),1.8,non
LONDON_MATERIEL_INFO_202605031,station d'accueil,modèle par défaut,0.026,non
Shanghai_MATERIEL_INFO_202605032,clavier,modèle par défaut,0.024,non
LA_MATERIEL_INFO_202605032,serveur,noeud de calcul,1.3,non
Paris_MATERIEL_INFO_202605032,disque dur,modèle par défaut,0.01,non
LONDON_MATERIEL_INFO_202605034,disque dur,modèle par défaut,0.01,non
BERLIN_MATERIEL_INFO_202605041,vidéo projecteur,pour amphi,0.2,non
BERLIN_MATERIEL_INFO_202605042,pc fixe,mac mini,0.27,non
BERLIN_MATERIEL_INFO_202605043,pc portable,precision 7xxx,0.304,non
BERLIN_MATERIEL_INFO_202605044,pc portable,moyenne 17pouces,0.365,non
BERLIN_MATERIEL_INFO_202605045,pc fixe tout-en-un,imac pro,0.7,non
LONDON_MATERIEL_INFO_202605040,pc fixe,precision tower 5xxx,0.44,non
LONDON_MATERIEL_INFO_202605041,pc fixe,station de travail (moy),0.6,non
LONDON_MATERIEL_INFO_202605042,pc fixe tout-en-un,optiplex all-in-one 3xxx,0.241,non
LONDON_MATERIEL_INFO_202605043,pc portable,precision 3xxx,0.266,non
LONDON_MATERIEL_INFO_202605044,ecran,jusqu'à 23pouces,0.35,non
LONDON_MATERIEL_INFO_202605046,pc fixe,optiplex tower,0.26,non
LONDON_MATERIEL_INFO_202605047,imprimante,laser a3 (>100kg),1.8,non
LA_MATERIEL_INFO_202605040,pc fixe tout-en-un,imac pro,0.7,non
LA_MATERIEL_INFO_202605041,pc portable,macbook air pre-retina,0.31,non
LA_MATERIEL_INFO_202605042,pc fixe,"elite (tower, sff, one)",0.393,non
LA_MATERIEL_INFO_202605043,pc fixe tout-en-un,modèle par défaut,0.352,non
LA_MATERIEL_INFO_202605044,pc fixe,wyse thin client,0.069,non
LA_MATERIEL_INFO_202605047,pc fixe,mac mini,0.27,non
LA_MATERIEL_INFO_202605049,pc portable,moyenne 14/15pouces,0.294,non
LA_MATERIEL_INFO_2026050411,pc fixe tout-en-un,imac 27pouces retina,0.45,non
NewYork_MATERIEL_INFO_202605041,pc portable,elitebook 10xx,0.223,non
Paris_MATERIEL_INFO_202605040,pc fixe,mac mini,0.27,non
Paris_MATERIEL_INFO_202605041,pc fixe,precision tower 3xxx,0.285,non
Paris_MATERIEL_INFO_202605043,vidéo projecteur,pour salle,0.15,non
Paris_MATERIEL_INFO_202605044,imprimante,laser a3 (40-99kg),0.96,non
Paris_MATERIEL_INFO_202605045,pc fixe tout-en-un,optiplex all-in-one 7xxx,0.382,non
Paris_MATERIEL_INFO_202605046,pc fixe tout-en-un,imac 21pouces,0.29,non
Paris_MATERIEL_INFO_202605047,pc portable,zbook,0.303,non
Shanghai_MATERIEL_INFO_202605042,pc fixe,"elite (tower, sff, one)",0.393,non
Shanghai_MATERIEL_INFO_202605043,pc portable,chromebook 11-13pouces,0.175,non
Shanghai_MATERIEL_INFO_202605044,pc portable,chromebook 11-13pouces,0.175,non
Shanghai_MATERIEL_INFO_202605045,pc portable,elitebook 8xx,0.29,non
Shanghai_MATERIEL_INFO_202605046,pc portable,elitebook 6xx,0.175,non
Shanghai_MATERIEL_INFO_202605047,pc fixe,pc fixe (moy),0.3,non
Shanghai_MATERIEL_INFO_202605048,pc fixe,precision tower 5xxx,0.44,non
Shanghai_MATERIEL_INFO_202605049,pc portable,precision 5xxx,0.28,non
Shanghai_MATERIEL_INFO_2026050410,pc portable,zbook,0.303,non
BERLIN_MATERIEL_INFO_202605050,disque dur,modèle par défaut,0.01,non
LONDON_MATERIEL_INFO_202605050,pc fixe tout-en-un,optiplex all-in-one 7xxx,0.382,non
LA_MATERIEL_INFO_202605054,pc fixe tout-en-un,optiplex all-in-one 3xxx,0.241,non
LA_MATERIEL_INFO_202605056,serveur,serveur de stockage,2.5,non
LA_MATERIEL_INFO_202605059,pc fixe,zhan,0.264,non
LA_MATERIEL_INFO_2026050510,pc fixe,pc fixe (moy),0.3,non
LA_MATERIEL_INFO_2026050511,pc fixe,wyse thin client,0.069,non
NewYork_MATERIEL_INFO_202605051,pc fixe tout-en-un,mac pro,0.9,non
NewYork_MATERIEL_INFO_202605052,tablette,modèle par défaut,0.15,non
NewYork_MATERIEL_INFO_202605053,pc portable,precision 5xxx,0.28,non
NewYork_MATERIEL_INFO_202605054,pc fixe tout-en-un,imac 21pouces retina,0.3,non
NewYork_MATERIEL_INFO_202605055,pc fixe tout-en-un,modèle par défaut,0.352,non
NewYork_MATERIEL_INFO_202605056,serveur,modèle par défaut,1.3,non
NewYork_MATERIEL_INFO_202605057,pc fixe,zhan,0.264,non
NewYork_MATERIEL_INFO_202605058,imprimante,laser à poser (<40kg),0.43,non
NewYork_MATERIEL_INFO_202605059,pc portable,chromebook 11-13pouces,0.175,non
Paris_MATERIEL_INFO_202605050,pc fixe,precision tower 3xxx,0.285,non
Paris_MATERIEL_INFO_202605051,pc portable,zbook,0.303,non
Paris_MATERIEL_INFO_202605053,pc portable,macbook air pre-retina,0.31,non
Paris_MATERIEL_INFO_202605054,pc fixe tout-en-un,imac 21pouces,0.29,non
Paris_MATERIEL_INFO_202605055,pc portable,macbook air retina,0.176,non
Paris_MATERIEL_INFO_202605056,pc fixe,optiplex micro,0.174,non
Paris_MATERIEL_INFO_202605057,pc fixe tout-en-un,mac pro,0.9,non
Paris_MATERIEL_INFO_202605058,vidéo projecteur,pour amphi,0.2,non
Paris_MATERIEL_INFO_202605059,pc fixe,"elitedesk (tower, sff, one)",0.393,non
Paris_MATERIEL_INFO_2026050512,pc fixe tout-en-un,optiplex all-in-one 3xxx,0.241,non
Paris_MATERIEL_INFO_2026050513,pc portable,chromebook 14-15pouces,0.17,non
Shanghai_MATERIEL_INFO_202605051,pc fixe,"prodesk (tower, sff)",0.322,non
Shanghai_MATERIEL_INFO_202605053,pc fixe,"prodesk (tower, sff)",0.322,non
Shanghai_MATERIEL_INFO_202605056,imprimante,laser a3 (40-99kg),0.96,non
Shanghai_MATERIEL_INFO_202605057,pc portable,probook,0.226,non
Paris_MATERIEL_INFO_202605061,pc fixe,wyse thin client,0.069,non
Shanghai_MATERIEL_INFO_202605063,pc fixe,precision tower 5xxx,0.44,non
Paris_MATERIEL_INFO_202605067,pc fixe,mac pro,0.9,non
Shanghai_MATERIEL_INFO_202605067,pc fixe,"elitedesk (tower, sff, one)",0.393,non
LONDON_MATERIEL_INFO_202605063,pc fixe,"prodesk (tower, sff)",0.322,non
Shanghai_MATERIEL_INFO_202605060,pc fixe,omen,0.29,non
Paris_MATERIEL_INFO_202605068,pc portable,omen,0.356,non
NewYork_MATERIEL_INFO_202605061,pc portable,omen,0.356,non
NewYork_MATERIEL_INFO_202605063,pc portable,probook,0.226,non
Paris_MATERIEL_INFO_202605066,pc portable,latitude 7xxx,0.264,non
LA_MATERIEL_INFO_202605061,pc portable,latitude 7xxx,0.264,non
LA_MATERIEL_INFO_202605064,pc portable,precision 7xxx,0.304,non
Paris_MATERIEL_INFO_202605060,pc portable,macbook air,0.25,non
LONDON_MATERIEL_INFO_202605064,pc portable,macbook pro 15/16pouces,0.33,non
Paris_MATERIEL_INFO_202605063,pc portable,moyenne 17pouces,0.365,non
Paris_MATERIEL_INFO_202605062,pc portable,moyenne 17pouces,0.365,non
BERLIN_MATERIEL_INFO_202605061,pc portable,moyenne 17pouces,0.365,non
LA_MATERIEL_INFO_202605063,ecran,24pouces-31pouces,0.43,non
Shanghai_MATERIEL_INFO_202605064,ecran,32pouces et plus,0.59,non
Shanghai_MATERIEL_INFO_202605066,telephone ip,modèle par défaut,0.017,non
LA_MATERIEL_INFO_202605066,souris,modèle par défaut,0.005,non
Paris_MATERIEL_INFO_202605065,borne wifi,modèle par défaut,0.01,non
Paris_MATERIEL_INFO_202605064,borne wifi,modèle par défaut,0.01,non
LA_MATERIEL_INFO_202605067,borne wifi,modèle par défaut,0.01,non
LONDON_MATERIEL_INFO_202605062,borne wifi,modèle par défaut,0.01,non
LONDON_MATERIEL_INFO_202605061,borne wifi,modèle par défaut,0.01,non
Shanghai_MATERIEL_INFO_202605076,pc fixe,optiplex micro,0.174,non
LONDON_MATERIEL_INFO_202605072,pc fixe,optiplex tower,0.26,non
Shanghai_MATERIEL_INFO_202605075,pc fixe,precision tower 3xxx,0.285,non
NewYork_MATERIEL_INFO_202605074,pc fixe,precision tower 5xxx,0.44,non
BERLIN_MATERIEL_INFO_202605070,pc fixe,rasberry pi 4,0.015,non
NewYork_MATERIEL_INFO_202605072,pc fixe,station de travail (moy),0.6,non
LA_MATERIEL_INFO_202605079,pc fixe,pc fixe (moy),0.3,non
Shanghai_MATERIEL_INFO_202605077,pc fixe tout-en-un,optiplex all-in-one 3xxx,0.241,non
Shanghai_MATERIEL_INFO_202605074,pc fixe tout-en-un,imac 21pouces retina,0.3,non
LA_MATERIEL_INFO_202605073,pc fixe tout-en-un,imac 27pouces retina,0.45,non
LA_MATERIEL_INFO_202605070,pc portable,omen,0.356,non
NewYork_MATERIEL_INFO_202605075,pc portable,precision 3xxx,0.266,non
LONDON_MATERIEL_INFO_202605070,pc portable,macbook air,0.25,non
LA_MATERIEL_INFO_202605074,pc portable,moyenne 14/15pouces,0.294,non
LA_MATERIEL_INFO_202605072,ecran,jusqu'à 23pouces,0.35,non
Paris_MATERIEL_INFO_202605070,ecran,32pouces et plus,0.59,non
Paris_MATERIEL_INFO_202605073,vidéo projecteur,pour salle,0.15,non
LA_MATERIEL_INFO_202605075,smartphone,modèle par défaut,0.063,non
NewYork_MATERIEL_INFO_202605071,imprimante,laser à poser (<40kg),0.43,non
LONDON_MATERIEL_INFO_202605073,imprimante,laser a3 (40-99kg),0.96,non
Shanghai_MATERIEL_INFO_202605070,souris,modèle par défaut,0.005,non
Shanghai_MATERIEL_INFO_202605078,serveur,serveur de stockage,2.5,non
LA_MATERIEL_INFO_202605078,serveur,serveur de stockage,2.5,non
LA_MATERIEL_INFO_202605076,serveur,serveur de stockage,2.5,non
NewYork_MATERIEL_INFO_202605084,pc fixe,optiplex micro,0.174,non
LA_MATERIEL_INFO_202605089,pc fixe,wyse thin client,0.069,non
Shanghai_MATERIEL_INFO_202605080,pc fixe,precision tower 7xxx,0.555,non
Paris_MATERIEL_INFO_202605084,pc fixe,mac pro,0.9,non
NewYork_MATERIEL_INFO_2026050813,pc fixe,mac pro,0.9,non
NewYork_MATERIEL_INFO_202605086,pc fixe,"prodesk (tower, sff)",0.322,non
NewYork_MATERIEL_INFO_202605085,pc fixe,omen,0.29,non
LA_MATERIEL_INFO_202605084,pc fixe,rasberry pi 4,0.015,non
LA_MATERIEL_INFO_202605082,pc fixe,rasberry pi 4,0.015,non
LA_MATERIEL_INFO_202605087,pc fixe tout-en-un,modèle par défaut,0.352,non
Shanghai_MATERIEL_INFO_202605082,pc fixe tout-en-un,optiplex all-in-one 5xxx,0.318,non
Paris_MATERIEL_INFO_202605085,pc fixe tout-en-un,imac 27pouces retina,0.45,non
NewYork_MATERIEL_INFO_202605081,pc fixe tout-en-un,imac 27pouces retina,0.45,non
LA_MATERIEL_INFO_202605080,pc fixe tout-en-un,imac 27pouces retina,0.45,non
NewYork_MATERIEL_INFO_2026050811,pc fixe tout-en-un,imac pro,0.7,non
Paris_MATERIEL_INFO_202605082,pc fixe tout-en-un,mac pro,0.9,non
BERLIN_MATERIEL_INFO_202605080,pc portable,elitebook 8xx,0.29,non
Paris_MATERIEL_INFO_202605086,pc portable,probook,0.226,non
NewYork_MATERIEL_INFO_2026050812,pc portable,zbook,0.303,non
NewYork_MATERIEL_INFO_202605082,pc portable,precision 5xxx,0.28,non
LONDON_MATERIEL_INFO_202605081,pc portable,precision 7xxx,0.304,non
LA_MATERIEL_INFO_202605085,pc portable,macbook air,0.25,non
NewYork_MATERIEL_INFO_202605080,pc portable,macbook air retina,0.176,non
LA_MATERIEL_INFO_202605088,pc portable,macbook pro 13pouces,0.256,non
LA_MATERIEL_INFO_202605081,vidéo projecteur,modèle par défaut,0.094,non
LA_MATERIEL_INFO_202605086,imprimante,modèle par défaut,0.5,non
Paris_MATERIEL_INFO_202605081,imprimante,laser a3 (>100kg),1.8,non
Shanghai_MATERIEL_INFO_202605083,clavier,modèle par défaut,0.024,non
LONDON_MATERIEL_INFO_202605080,borne wifi,modèle par défaut,0.01,non
BERLIN_MATERIEL_INFO_202605082,borne wifi,modèle par défaut,0.01,non
Paris_MATERIEL_INFO_202605083,disque dur,modèle par défaut,0.01,non
NewYork_MATERIEL_INFO_202605091,pc fixe,optiplex micro,0.174,non
NewYork_MATERIEL_INFO_202605097,pc fixe,precision tower 7xxx,0.555,non
LA_MATERIEL_INFO_202605093,pc fixe,"elitedesk (tower, sff, one)",0.393,non
NewYork_MATERIEL_INFO_202605095,pc fixe,"prodesk (tower, sff)",0.322,non
BERLIN_MATERIEL_INFO_202605092,pc fixe,omen,0.29,non
NewYork_MATERIEL_INFO_202605094,pc fixe,zhan,0.264,non
Paris_MATERIEL_INFO_202605091,pc fixe,station de travail (moy),0.6,non
BERLIN_MATERIEL_INFO_202605091,pc fixe,pc fixe (moy),0.3,non
Paris_MATERIEL_INFO_202605090,pc fixe tout-en-un,imac 21pouces retina,0.3,non
NewYork_MATERIEL_INFO_202605098,pc fixe tout-en-un,mac pro,0.9,non
BERLIN_MATERIEL_INFO_202605094,pc portable,victus,0.267,non
LA_MATERIEL_INFO_202605090,pc portable,chromebook 14-15pouces,0.17,non
LONDON_MATERIEL_INFO_202605091,pc portable,chromebook 14-15pouces,0.17,non
LONDON_MATERIEL_INFO_202605090,pc portable,elitebook 6xx,0.175,non
NewYork_MATERIEL_INFO_202605090,pc portable,macbook air pre-retina,0.31,non
Shanghai_MATERIEL_INFO_202605091,ecran,jusqu'à 23pouces,0.35,non
NewYork_MATERIEL_INFO_202605096,ecran,jusqu'à 23pouces,0.35,non
NewYork_MATERIEL_INFO_202605099,vidéo projecteur,transportable,0.094,non
NewYork_MATERIEL_INFO_202605092,telephone ip,modèle par défaut,0.017,non
BERLIN_MATERIEL_INFO_202605093,station d'accueil,modèle par défaut,0.026,non
Shanghai_MATERIEL_INFO_202605093,serveur,noeud de calcul,1.3,non
LA_MATERIEL_INFO_202605091,disque dur,modèle par défaut,0.01,non
BERLIN_MATERIEL_INFO_202605100,pc fixe,optiplex micro,0.174,non
Shanghai_MATERIEL_INFO_2026051012,pc fixe,wyse thin client,0.069,non
Paris_MATERIEL_INFO_202605106,pc fixe,precision tower 7xxx,0.555,non
Shanghai_MATERIEL_INFO_2026051013,pc fixe,mac mini,0.27,non
LA_MATERIEL_INFO_202605102,pc fixe,"elite (tower, sff, one)",0.393,non
Shanghai_MATERIEL_INFO_2026051010,pc fixe tout-en-un,optiplex all-in-one 5xxx,0.318,non
Shanghai_MATERIEL_INFO_202605103,pc fixe tout-en-un,optiplex all-in-one 7xxx,0.382,non
LONDON_MATERIEL_INFO_202605101,pc fixe tout-en-un,optiplex all-in-one 7xxx,0.382,non
Shanghai_MATERIEL_INFO_202605109,pc fixe tout-en-un,imac 27pouces retina,0.45,non
LONDON_MATERIEL_INFO_202605100,pc fixe tout-en-un,imac pro,0.7,non
Shanghai_MATERIEL_INFO_202605100,pc portable,omen,0.356,non
LA_MATERIEL_INFO_202605101,pc portable,chromebook 14-15pouces,0.17,non
Shanghai_MATERIEL_INFO_202605105,pc portable,elitebook 8xx,0.29,non
Shanghai_MATERIEL_INFO_202605104,pc portable,precision 3xxx,0.266,non
NewYork_MATERIEL_INFO_202605101,pc portable,macbook air pre-retina,0.31,non
NewYork_MATERIEL_INFO_202605100,pc portable,macbook air pre-retina,0.31,non
NewYork_MATERIEL_INFO_202605103,pc portable,macbook pro 13pouces,0.256,non
Shanghai_MATERIEL_INFO_202605101,pc portable,moyenne 13pouces,0.25,non
BERLIN_MATERIEL_INFO_202605103,pc portable,moyenne 13pouces,0.25,non
Paris_MATERIEL_INFO_202605107,pc portable,moyenne 17pouces,0.365,non
LONDON_MATERIEL_INFO_202605102,vidéo projecteur,pour amphi,0.2,non
Paris_MATERIEL_INFO_202605100,imprimante,modèle par défaut,0.5,non
LA_MATERIEL_INFO_202605103,imprimante,modèle par défaut,0.5,non
Paris_MATERIEL_INFO_202605105,imprimante,laser à poser (<40kg),0.43,non
LONDON_MATERIEL_INFO_202605104,imprimante,laser a3 (40-99kg),0.96,non
Paris_MATERIEL_INFO_202605103,imprimante,laser a3 (>100kg),1.8,non
